"","""XX_rep1""","""XX_rep2""","""XX_rep3""","""XX_rep8""","""XX_rep9""","""XX_rep10""","""Xm_rep3""","""Xm_rep7""","""Xm_rep8""","""Xm_rep13""","""Xm_rep15""","""Xp_rep1""","""Xp_rep2""","""Xp_rep3""","""Xp_rep4""","""Xp_rep7""","""Xp_rep9"""
"TANK",6.75284205132735,6.58776328612077,6.98671424593677,6.39753532091547,6.51474854276043,5.21112214427615,4.57566437532012,5.49770501381172,5.63861301108046,6.01670132665702,5.70905784346776,5.13887106692968,4.39477874200568,4.49577410915805,6.36469492833151,4.83087088879757,5.67781944565247
"SNHG19",8.7357815055207,7.85721479603754,7.97623593797485,9.25135062827002,8.02018266576834,8.57770432462895,6.47821777409873,6.90970370300072,7.15495783907112,7.69854958610509,6.77241461247929,6.46880902006456,7.17132574441527,7.8730444665125,7.48733878223252,8.40804872147122,7.65546558773942
"LINC00565",6.27282832706205,5.8246801144461,5.75217417807061,6.23891552970781,5.35686193236644,6.12947761139442,6.80809823129576,6.70895250343892,6.17160311009175,6.71980548471316,7.05429932220325,6.36232514365092,8.25678003831427,7.42660620497326,6.90615601802914,7.74271236470447,6.72997411335109
"ARPC5",10.716171869679,10.9196978350004,11.1423851666217,10.734300966405,11.1685794630737,8.98059855764518,8.91108180634284,10.2316388491706,10.0966382260928,10.401905436262,10.1610863411359,9.60366324010912,8.82546942504195,8.99105596635932,10.6164627269248,8.82972339059152,10.1839384697746
"ACTR2",9.36879302431069,10.4479706426736,10.3536389470797,9.68822230658727,10.3199517135002,7.16446082949181,6.61485378176392,8.57004881687126,8.76965327724916,8.96777462591674,9.0334694811968,8.09972343946173,6.45196463068147,6.6855019909942,9.7052173070055,6.73919798585064,8.80787562115363
"TOB1",9.97275318910944,8.89374879507755,10.6647108752007,9.76250825552963,9.26047696700699,7.77180917626731,8.10658918725299,8.83614073861864,7.99395277480119,8.34102034565523,8.08240089109536,8.26520754130667,8.64134615724109,8.35084449503645,7.96973634988269,8.0666212563862,7.30937458495549
"MBNL2",6.08132210567242,6.84937704977361,6.73321674432424,6.10218365518559,6.07596911930517,4.87698181394366,4.50311768607609,5.2887273247904,5.32855313786171,5.94050265756502,5.3916615970698,5.01509221811279,4.18460358462028,4.68609186674639,6.02553757270183,4.79554130590424,5.28409479820485
"PLXNC1",9.01760943787152,9.19878675839811,9.53031602283513,9.4352751307086,9.07722496209188,7.69476923384956,6.52735732367404,7.96232280534586,8.52209807901794,7.83967094752795,8.27662276459805,7.84669074590932,6.63629270663082,6.53728928920652,8.83742834737298,6.39282583755583,7.88000740520137
"LOC101928343",8.76877374199415,8.07144431738306,8.67252426554849,7.81713293784728,8.41616149668523,8.9331913029412,7.38330851595167,7.61918522051812,7.72458027996789,6.89086777747858,7.36642664070502,7.80911415967971,7.76498698852622,8.31266302737918,8.38353946359302,7.66507265694912,7.53556131447371
"CDKN1C",6.86603497302074,5.16001900088042,6.50820864720914,6.09954798933678,5.78958294624157,6.47481830137911,6.06018749989559,4.27423497725589,4.33975277446406,4.13032623168813,5.95920355262826,5.81174701761284,5.75339297449553,5.46748280152569,5.33142079483236,5.30448772704464,4.49888758215376
"MYL9",7.40138131392427,5.85929338395038,6.43934446640369,7.67901145298088,7.22940163586865,6.57834848224589,10.2119735787801,9.53864727584596,10.7625210368552,8.26166388987962,8.48976966936604,9.30724419747534,7.68368095966836,8.94993064894568,8.44980883177905,9.17446771570184,9.87143598209255
"N4BP2L2",6.31368421750167,6.1944620311855,6.46117415384321,6.10332214039386,5.9081051529834,6.5050707306103,5.49971358953651,4.75970460661763,4.98228335021073,5.84234353766098,5.06344815561582,6.38290359339894,5.6961141450015,5.73878758713809,5.1099659935659,5.02296096392327,5.68110680229898
"NCOA2",6.19414024593089,6.10221270220336,6.56177444949913,6.09343189200976,6.72781390700113,3.97268063442751,3.52439797001303,5.84748636565792,5.44909576683784,5.90087175236763,5.27260549200739,4.59643822435596,3.35004276106376,3.63475719999117,6.4390470696796,3.59029413742012,5.66469370699547
"CCT2",10.2516218474025,9.91834549900563,9.82168111106208,9.76119293412385,9.53976506145234,8.16838485740181,8.04501175528311,9.14628640255195,8.35762852704905,9.09096702403612,8.73947815790586,8.88753890871871,7.78081454735161,8.10845453166315,9.67675894941209,8.10610172080417,8.88795042088206
"ERLIN1",7.30697978900496,7.57716365819268,7.13474443706179,7.02465030969015,7.04175459096936,4.69751946924634,4.92345940357996,5.9005240420292,6.10812340313796,6.05129087586001,5.62502637665558,5.26373387904965,4.55218852616635,4.83312235445561,6.58538522097351,4.65629839202099,6.04079130820207
"TNFSF13B",11.1009487491846,11.3633651272227,11.5742728167561,11.5207081211277,11.6858630964115,10.4803090526531,10.073776522579,10.32782309845,11.0369105408759,10.527444508528,10.3624539702397,9.91580762701093,9.6228630681557,10.1504014814609,10.9869838857711,10.0889114575136,10.4723136273379
"CTSC",9.78078674014625,10.0210426660153,10.1799927358169,9.74761106382769,9.66915496364835,8.00170687775915,8.13363443614404,9.35273037705784,9.06956025860879,9.39461172982189,9.26149017584629,9.29441385069109,6.66686029573083,8.26917590825173,9.49703063467438,7.66979575065607,9.12819195927011
"CYSLTR1",9.33679330543733,9.58329628042562,9.73643135660205,9.18546920506495,9.49294854393385,9.11617986139416,7.93211401611487,8.34720800632615,8.37806549740791,8.60402237884359,9.45465903362224,8.11939214810073,8.4702589272978,8.34992646381926,8.98835195913283,7.92537098367603,8.21957034461893
